Commercial AO designator,CFN,CFN suffix,ATC AO designator,ATC flight id,Start of period of operation,End of period of operation,Days of operation,ICAO ADEP,EOBT,ICAO ADES,ETA,ICAO aircraft type,No-change indicator,Change-actions indicator,Call-sign format,Next CFN,
AY,005,,FIN,005,27MAR11,10APR11,1234567,EFHK,1110,KJFK,1950,A333,N,,,006,
AY,005,,FIN,005,11APR11,29APR11,124567,EFHK,1110,KJFK,1950,A333,N,,,006,
AY,005,,FIN,005,13APR11,27APR11,3,EFHK,1110,KJFK,1950,A330,N,,,006,
AY,005,,FIN,005,30APR11,15MAY11,1234567,EFHK,1110,KJFK,1950,A330,N,,,006,
AY,005,,FIN,005,16MAY11,20MAY11,12345,EFHK,1110,KJFK,1950,A333,N,,,006,
AY,005,,FIN,005,21MAY11,29OCT11,1234567,EFHK,1110,KJFK,1950,A330,N,,,006,
AY,006,,FIN,006,27MAR11,05APR11,1234567,KJFK,2140,EFHK,0550,A333,N,,,005,
AY,006,,FIN,006,06APR11,06APR11,3,KJFK,2140,EFHK,0550,A333,N,,,051,
AY,006,,FIN,006,07APR11,28APR11,14567,KJFK,2140,EFHK,0550,A333,N,,,005,
AY,006,,FIN,006,12APR11,26APR11,2,KJFK,2140,EFHK,0550,A333,N,,,079,
AY,006,,FIN,006,13APR11,20APR11,3,KJFK,2140,EFHK,0550,A330,N,,,089,
AY,006,,FIN,006,27APR11,27APR11,3,KJFK,2140,EFHK,0550,A330,N,,,095,
AY,006,,FIN,006,29APR11,29APR11,5,KJFK,2140,EFHK,0550,A333,N,,,051,
AY,006,,FIN,006,30APR11,14MAY11,1234567,KJFK,2140,EFHK,0550,A330,N,,,005,
AY,006,,FIN,006,15MAY11,15MAY11,7,KJFK,2140,EFHK,0550,A330,N,,,095,
AY,006,,FIN,006,16MAY11,19MAY11,124,KJFK,2140,EFHK,0550,A333,N,,,005,
AY,006,,FIN,006,18MAY11,18MAY11,3,KJFK,2140,EFHK,0550,A333,N,,,051,
AY,006,,FIN,006,20MAY11,20MAY11,5,KJFK,2140,EFHK,0550,A333,N,,,041,
AY,006,,FIN,006,21MAY11,28OCT11,1234567,KJFK,2140,EFHK,0550,A330,N,,,005,
AY,006,,FIN,006,29OCT11,29OCT11,6,KJFK,2140,EFHK,0550,A330,N,,,000,
AY,021,,FIN,021,27MAR11,10APR11,247,EFHK,1710,VIDP,2355,A340,N,,,022,
AY,021,,FIN,021,30MAR11,02APR11,36,EFHK,1710,VIDP,2355,A330,N,,,022,
AY,021,,FIN,021,01APR11,22APR11,5,EFHK,1710,VIDP,2355,A333,N,,,022,
AY,021,,FIN,021,09APR11,23APR11,6,EFHK,1710,VIDP,2355,A330,N,,,022,
AY,021,,FIN,021,12APR11,28APR11,2347,EFHK,1710,VIDP,2355,A340,N,,,022,
AY,021,,FIN,021,29APR11,06MAY11,5,EFHK,1710,VIDP,2355,A330,N,,,022,
AY,021,,FIN,021,30APR11,01MAY11,67,EFHK,1710,VIDP,2355,A340,N,,,022,
AY,021,,FIN,021,03MAY11,08MAY11,23467,EFHK,1710,VIDP,2355,A330,N,,,022,
AY,021,,FIN,021,10MAY11,15MAY11,237,EFHK,1710,VIDP,2355,A340,N,,,022,
AY,021,,FIN,021,12MAY11,14MAY11,46,EFHK,1710,VIDP,2355,A333,N,,,022,
AY,021,,FIN,021,13MAY11,13MAY11,5,EFHK,1710,VIDP,2355,A333,N,,,022,
AY,021,,FIN,021,17MAY11,29MAY11,23467,EFHK,1710,VIDP,2355,A330,N,,,022,
AY,021,,FIN,021,20MAY11,27MAY11,5,EFHK,1710,VIDP,2355,A330,N,,,022,
AY,021,,FIN,021,31MAY11,05OCT11,236,EFHK,1710,VIDP,2355,A330,N,,,022,
AY,021,,FIN,021,02JUN11,02OCT11,47,EFHK,1710,VIDP,2355,A333,N,,,022,
AY,021,,FIN,021,03JUN11,30SEP11,5,EFHK,1710,VIDP,2355,A333,N,,,022,
AY,021,,FIN,021,06OCT11,08OCT11,46,EFHK,1710,VIDP,2355,A330,N,,,022,
AY,021,,FIN,021,07OCT11,28OCT11,5,EFHK,1710,VIDP,2355,A330,N,,,022,
AY,021,,FIN,021,09OCT11,13OCT11,347,EFHK,1710,VIDP,2355,A333,N,,,022,
AY,021,,FIN,021,11OCT11,18OCT11,267,EFHK,1710,VIDP,2355,A330,N,,,022,
AY,021,,FIN,021,19OCT11,27OCT11,23467,EFHK,1710,VIDP,2355,A333,N,,,022,
AY,021,,FIN,021,29OCT11,29OCT11,6,EFHK,1710,VIDP,2355,A330,N,,,000,
AY,022,,FIN,022,27MAR11,27MAR11,7,VIDP,0450,EFHK,1210,A340,N,,,069,
AY,022,,FIN,022,28MAR11,04APR11,1,VIDP,0450,EFHK,1210,A340,N,,,057,
AY,022,,FIN,022,30MAR11,06APR11,3,VIDP,0450,EFHK,1210,A340,N,,,051,
AY,022,,FIN,022,31MAR11,31MAR11,4,VIDP,0450,EFHK,1210,A330,N,,,1957,
AY,022,,FIN,022,01APR11,01APR11,5,VIDP,0450,EFHK,1210,A340,N,,,077,
AY,022,,FIN,022,02APR11,23APR11,6,VIDP,0450,EFHK,1205,A333,N,,,041,
AY,022,,FIN,022,03APR11,17APR11,7,VIDP,0450,EFHK,1210,A330,N,,,1959,
AY,022,,FIN,022,08APR11,08APR11,5,VIDP,0450,EFHK,1210,A340,N,,,1511,
AY,022,,FIN,022,11APR11,02MAY11,15,VIDP,0450,EFHK,1210,A340,N,,,057,
AY,022,,FIN,022,13APR11,27APR11,34,VIDP,0450,EFHK,1210,A340,N,,,073,
AY,022,,FIN,022,24APR11,24APR11,7,VIDP,0450,EFHK,1210,A330,N,,,095,
AY,022,,FIN,022,28APR11,28APR11,4,VIDP,0450,EFHK,1210,A340,N,,,069,
AY,022,,FIN,022,30APR11,30APR11,6,VIDP,0450,EFHK,1205,A330,N,,,095,
AY,022,,FIN,022,01MAY11,01MAY11,7,VIDP,0450,EFHK,1210,A340,N,,,073,
AY,022,,FIN,022,04MAY11,08MAY11,3457,VIDP,0450,EFHK,1210,A330,N,,,021,
AY,022,,FIN,022,07MAY11,07MAY11,6,VIDP,0450,EFHK,1205,A330,N,,,021,
AY,022,,FIN,022,09MAY11,09MAY11,1,VIDP,0450,EFHK,1210,A330,N,,,095,
AY,022,,FIN,022,11MAY11,11MAY11,3,VIDP,0450,EFHK,1210,A340,N,,,073,
AY,022,,FIN,022,12MAY11,12MAY11,4,VIDP,0450,EFHK,1210,A340,N,,,057,
AY,022,,FIN,022,13MAY11,15MAY11,57,VIDP,0450,EFHK,1210,A333,N,,,077,
AY,022,,FIN,022,14MAY11,14MAY11,6,VIDP,0450,EFHK,1205,A333,N,,,077,
AY,022,,FIN,022,16MAY11,16MAY11,1,VIDP,0450,EFHK,1210,A340,N,,,073,
AY,022,,FIN,022,18MAY11,01JUN11,3457,VIDP,0450,EFHK,1210,A330,N,,,021,
AY,022,,FIN,022,21MAY11,28MAY11,6,VIDP,0450,EFHK,1205,A330,N,,,021,
AY,022,,FIN,022,23MAY11,30MAY11,1,VIDP,0450,EFHK,1210,A330,N,,,095,
AY,022,,FIN,022,02JUN11,02OCT11,47,VIDP,0450,EFHK,1210,A330,N,,,095,
AY,022,,FIN,022,03JUN11,30SEP11,5,VIDP,0450,EFHK,1210,A333,N,,,021,
AY,022,,FIN,022,04JUN11,01OCT11,6,VIDP,0450,EFHK,1205,A333,N,,,051,
AY,022,,FIN,022,06JUN11,03OCT11,1,VIDP,0450,EFHK,1210,A333,N,,,041,
AY,022,,FIN,022,08JUN11,05OCT11,3,VIDP,0450,EFHK,1210,A330,N,,,021,
AY,022,,FIN,022,06OCT11,07OCT11,45,VIDP,0450,EFHK,1210,A330,N,,,021,
AY,022,,FIN,022,08OCT11,15OCT11,6,VIDP,0450,EFHK,1205,A330,N,,,021,
AY,022,,FIN,022,09OCT11,12OCT11,37,VIDP,0450,EFHK,1210,A330,N,,,095,
AY,022,,FIN,022,10OCT11,10OCT11,1,VIDP,0450,EFHK,1210,A333,N,,,073,
AY,022,,FIN,022,13OCT11,13OCT11,4,VIDP,0450,EFHK,1210,A333,N,,,021,
AY,022,,FIN,022,14OCT11,14OCT11,5,VIDP,0450,EFHK,1210,A333,N,,,077,
AY,022,,FIN,022,16OCT11,16OCT11,7,VIDP,0450,EFHK,1210,A330,N,,,021,
AY,022,,FIN,022,17OCT11,17OCT11,1,VIDP,0450,EFHK,1210,A330,N,,,021,
AY,022,,FIN,022,19OCT11,19OCT11,3,VIDP,0450,EFHK,1210,A330,N,,,095,
AY,022,,FIN,022,20OCT11,27OCT11,4,VIDP,0450,EFHK,1210,A333,N,,,041,
AY,022,,FIN,022,21OCT11,24OCT11,15,VIDP,0450,EFHK,1210,A333,N,,,051,
AY,022,,FIN,022,22OCT11,22OCT11,6,VIDP,0450,EFHK,1205,A330,N,,,095,
AY,022,,FIN,022,23OCT11,28OCT11,57,VIDP,0450,EFHK,1210,A333,N,,,077,
AY,022,,FIN,022,26OCT11,26OCT11,3,VIDP,0450,EFHK,1210,A333,N,,,021,
AY,022,,FIN,022,29OCT11,29OCT11,6,VIDP,0450,EFHK,1205,A330,N,,,021,
AY,031,,FIN,031,26MAY11,11SEP11,12347,EFHK,1445,CYYZ,2335,B752,N,,,032,
AY,032,,FIN,032,27MAY11,27MAY11,5,CYYZ,0250,EFHK,1100,B752,N,,,733,
AY,032,,FIN,032,30MAY11,04AUG11,14,CYYZ,0250,EFHK,1100,B752,N,,,031,
AY,032,,FIN,032,31MAY11,21JUN11,2,CYYZ,0250,EFHK,1100,B752,N,,,1875,
AY,032,,FIN,032,01JUN11,20JUL11,3,CYYZ,0250,EFHK,1100,B752,N,,,1835,
AY,032,,FIN,032,03JUN11,29JUL11,5,CYYZ,0250,EFHK,1100,B752,N,,,1037,
AY,032,,FIN,032,28JUN11,26JUL11,2,CYYZ,0250,EFHK,1100,B752,N,,,1875,
AY,032,,FIN,032,27JUL11,27JUL11,3,CYYZ,0250,EFHK,1100,B752,N,,,1835,
AY,032,,FIN,032,02AUG11,16AUG11,2,CYYZ,0250,EFHK,1100,B752,N,,,733,
AY,032,,FIN,032,03AUG11,03AUG11,3,CYYZ,0250,EFHK,1100,B752,N,,,1275,
AY,032,,FIN,032,05AUG11,05AUG11,5,CYYZ,0250,EFHK,1100,B752,N,,,1037,
AY,032,,FIN,032,08AUG11,18AUG11,134,CYYZ,0250,EFHK,1100,B752,N,,,031,
AY,032,,FIN,032,12AUG11,19AUG11,5,CYYZ,0250,EFHK,1100,B752,N,,,2103,
AY,032,,FIN,032,22AUG11,08SEP11,14,CYYZ,0250,EFHK,1100,B752,N,,,031,
AY,032,,FIN,032,23AUG11,23AUG11,2,CYYZ,0250,EFHK,1100,B752,N,,,1875,
AY,032,,FIN,032,24AUG11,24AUG11,3,CYYZ,0250,EFHK,1100,B752,N,,,000,
AY,032,,FIN,032,26AUG11,26AUG11,5,CYYZ,0250,EFHK,1100,B752,N,,,1743,
AY,032,,FIN,032,30AUG11,30AUG11,2,CYYZ,0250,EFHK,1100,B752,N,,,733,
AY,032,,FIN,032,31AUG11,07SEP11,3,CYYZ,0250,EFHK,1100,B752,N,,,1835,
AY,032,,FIN,032,02SEP11,09SEP11,5,CYYZ,0250,EFHK,1100,B752,N,,,2103,
AY,032,,FIN,032,06SEP11,06SEP11,2,CYYZ,0250,EFHK,1100,B752,N,,,1875,
AY,032,,FIN,032,12SEP11,12SEP11,1,CYYZ,0250,EFHK,1100,B752,N,,,1773,
AY,041,,FIN,041,27MAR11,09OCT11,1234567,EFHK,1430,RKSI,2315,A333,N,,,042,
AY,041,,FIN,041,11OCT11,28OCT11,24567,EFHK,1430,RKSI,2315,A333,N,,,042,
AY,041,,FIN,041,29OCT11,29OCT11,6,EFHK,1430,RKSI,2315,A333,N,,,000,
AY,042,,FIN,042,27MAR11,10APR11,137,RKSI,0125,EFHK,1105,A333,N,,,041,
AY,042,,FIN,042,29MAR11,26APR11,2,RKSI,0125,EFHK,1105,A333,N,,,051,
AY,042,,FIN,042,31MAR11,09APR11,46,RKSI,0125,EFHK,1105,A333,N,,,077,
AY,042,,FIN,042,01APR11,22APR11,5,RKSI,0125,EFHK,1105,A333,N,,,021,
AY,042,,FIN,042,11APR11,01MAY11,1347,RKSI,0125,EFHK,1105,A333,N,,,041,
AY,042,,FIN,042,16APR11,30APR11,6,RKSI,0125,EFHK,1105,A333,N,,,077,
AY,042,,FIN,042,29APR11,29APR11,5,RKSI,0125,EFHK,1105,A333,N,,,095,
AY,042,,FIN,042,02MAY11,12MAY11,1467,RKSI,0125,EFHK,1105,A333,N,,,041,
AY,042,,FIN,042,03MAY11,03MAY11,2,RKSI,0125,EFHK,1105,A333,N,,,077,
AY,042,,FIN,042,04MAY11,11MAY11,35,RKSI,0125,EFHK,1105,A333,N,,,077,
AY,042,,FIN,042,10MAY11,10MAY11,2,RKSI,0125,EFHK,1105,A333,N,,,021,
AY,042,,FIN,042,13MAY11,14MAY11,56,RKSI,0125,EFHK,1105,A333,N,,,021,
AY,042,,FIN,042,15MAY11,15MAY11,7,RKSI,0125,EFHK,1105,A333,N,,,005,
AY,042,,FIN,042,16MAY11,21MAY11,1246,RKSI,0125,EFHK,1105,A333,N,,,077,
AY,042,,FIN,042,18MAY11,23MAY11,137,RKSI,0125,EFHK,1105,A333,N,,,041,
AY,042,,FIN,042,20MAY11,27MAY11,25,RKSI,0125,EFHK,1105,A333,N,,,079,
AY,042,,FIN,042,25MAY11,01JUN11,136,RKSI,0125,EFHK,1105,A333,N,,,077,
AY,042,,FIN,042,26MAY11,26MAY11,4,RKSI,0125,EFHK,1105,A333,N,,,051,
AY,042,,FIN,042,29MAY11,04JUN11,67,RKSI,0125,EFHK,1105,A333,N,,,041,
AY,042,,FIN,042,31MAY11,06OCT11,247,RKSI,0125,EFHK,1105,A333,N,,,051,
AY,042,,FIN,042,03JUN11,30SEP11,5,RKSI,0125,EFHK,1105,A333,N,,,079,
AY,042,,FIN,042,06JUN11,05OCT11,13,RKSI,0125,EFHK,1105,A333,N,,,077,
AY,042,,FIN,042,11JUN11,01OCT11,6,RKSI,0125,EFHK,1105,A333,N,,,041,
AY,042,,FIN,042,07OCT11,12OCT11,13567,RKSI,0125,EFHK,1105,A333,N,,,051,
AY,042,,FIN,042,14OCT11,28OCT11,5,RKSI,0125,EFHK,1105,A333,N,,,041,
AY,042,,FIN,042,15OCT11,15OCT11,6,RKSI,0125,EFHK,1105,A333,N,,,077,
AY,042,,FIN,042,16OCT11,22OCT11,1367,RKSI,0125,EFHK,1105,A333,N,,,051,
AY,042,,FIN,042,23OCT11,23OCT11,7,RKSI,0125,EFHK,1105,A333,N,,,021,
AY,042,,FIN,042,24OCT11,24OCT11,1,RKSI,0125,EFHK,1105,A333,N,,,021,
AY,042,,FIN,042,26OCT11,26OCT11,3,RKSI,0125,EFHK,1105,A333,N,,,051,
AY,042,,FIN,042,29OCT11,29OCT11,6,RKSI,0125,EFHK,1105,A333,N,,,073,
AY,051,,FIN,051,27MAR11,30MAR11,37,EFHK,1505,ZBAA,2255,A340,N,,,052,
AY,051,,FIN,051,28MAR11,10APR11,124567,EFHK,1505,ZBAA,2255,A333,N,,,052,
AY,051,,FIN,051,06APR11,06APR11,3,EFHK,1505,ZBAA,2255,A340,N,,,052,
AY,051,,FIN,051,11APR11,02MAY11,1234567,EFHK,1505,ZBAA,2255,A333,N,,,052,
AY,051,,FIN,051,03MAY11,10MAY11,23,EFHK,1505,ZBAA,2255,A340,N,,,052,
AY,051,,FIN,051,05MAY11,16MAY11,134567,EFHK,1505,ZBAA,2255,A333,N,,,052,
AY,051,,FIN,051,17MAY11,18MAY11,23,EFHK,1505,ZBAA,2255,A340,N,,,052,
AY,051,,FIN,051,19MAY11,29MAY11,1234567,EFHK,1505,ZBAA,2255,A333,N,,,052,
AY,051,,FIN,051,30MAY11,02OCT11,123467,EFHK,1505,ZBAA,2255,A333,N,,,052,
AY,051,,FIN,051,03JUN11,30SEP11,5,EFHK,1505,ZBAA,2255,A330,N,,,052,
AY,051,,FIN,051,03OCT11,28OCT11,1234567,EFHK,1505,ZBAA,2255,A333,N,,,052,
AY,051,,FIN,051,29OCT11,29OCT11,6,EFHK,1505,ZBAA,2255,A333,N,,,000,
AY,052,,FIN,052,27MAR11,27MAR11,7,ZBAA,0255,EFHK,1125,A340,N,,,051,
AY,052,,FIN,052,28MAR11,28MAR11,1,ZBAA,0255,EFHK,1125,A340,N,,,073,
AY,052,,FIN,052,29MAR11,26APR11,2,ZBAA,0255,EFHK,1125,A333,N,,,079,
AY,052,,FIN,052,30MAR11,06APR11,3,ZBAA,0255,EFHK,1125,A333,N,,,077,
AY,052,,FIN,052,31MAR11,07APR11,4,ZBAA,0255,EFHK,1125,A340,N,,,073,
AY,052,,FIN,052,01APR11,10APR11,1567,ZBAA,0255,EFHK,1125,A333,N,,,051,
AY,052,,FIN,052,11APR11,29APR11,134567,ZBAA,0255,EFHK,1125,A333,N,,,051,
AY,052,,FIN,052,30APR11,03MAY11,26,ZBAA,0255,EFHK,1125,A333,N,,,041,
AY,052,,FIN,052,01MAY11,08MAY11,1567,ZBAA,0255,EFHK,1125,A333,N,,,051,
AY,052,,FIN,052,04MAY11,04MAY11,3,ZBAA,0255,EFHK,1125,A340,N,,,051,
AY,052,,FIN,052,05MAY11,05MAY11,4,ZBAA,0255,EFHK,1125,A340,N,,,057,
AY,052,,FIN,052,09MAY11,16MAY11,14567,ZBAA,0255,EFHK,1125,A333,N,,,051,
AY,052,,FIN,052,10MAY11,10MAY11,2,ZBAA,0255,EFHK,1125,A333,N,,,041,
AY,052,,FIN,052,11MAY11,11MAY11,3,ZBAA,0255,EFHK,1125,A340,N,,,000,
AY,052,,FIN,052,17MAY11,17MAY11,2,ZBAA,0255,EFHK,1125,A333,N,,,079,
AY,052,,FIN,052,18MAY11,18MAY11,3,ZBAA,0255,EFHK,1125,A340,N,,,057,
AY,052,,FIN,052,19MAY11,19MAY11,4,ZBAA,0255,EFHK,1125,A340,N,,,073,
AY,052,,FIN,052,20MAY11,29MAY11,123567,ZBAA,0255,EFHK,1125,A333,N,,,051,
AY,052,,FIN,052,26MAY11,26MAY11,4,ZBAA,0255,EFHK,1125,A333,N,,,041,
AY,052,,FIN,052,30MAY11,05OCT11,13,ZBAA,0255,EFHK,1125,A333,N,,,051,
AY,052,,FIN,052,31MAY11,09OCT11,27,ZBAA,0255,EFHK,1125,A333,N,,,079,
AY,052,,FIN,052,02JUN11,07OCT11,45,ZBAA,0255,EFHK,1125,A333,N,,,041,
AY,052,,FIN,052,04JUN11,01OCT11,6,ZBAA,0255,EFHK,1125,A330,N,,,021,
AY,052,,FIN,052,08OCT11,12OCT11,36,ZBAA,0255,EFHK,1125,A333,N,,,077,
AY,052,,FIN,052,10OCT11,10OCT11,1,ZBAA,0255,EFHK,1125,A333,N,,,1519,
AY,052,,FIN,052,11OCT11,13OCT11,24,ZBAA,0255,EFHK,1125,A333,N,,,051,
AY,052,,FIN,052,14OCT11,21OCT11,56,ZBAA,0255,EFHK,1125,A333,N,,,079,
AY,052,,FIN,052,16OCT11,22OCT11,67,ZBAA,0255,EFHK,1125,A333,N,,,041,
AY,052,,FIN,052,17OCT11,17OCT11,1,ZBAA,0255,EFHK,1125,A333,N,,,073,
AY,052,,FIN,052,18OCT11,27OCT11,247,ZBAA,0255,EFHK,1125,A333,N,,,051,
AY,052,,FIN,052,19OCT11,26OCT11,3,ZBAA,0255,EFHK,1125,A333,N,,,077,
AY,052,,FIN,052,24OCT11,24OCT11,1,ZBAA,0255,EFHK,1125,A333,N,,,021,
AY,052,,FIN,052,28OCT11,28OCT11,5,ZBAA,0255,EFHK,1125,A333,N,,,079,
AY,052,,FIN,052,29OCT11,29OCT11,6,ZBAA,0255,EFHK,1125,A333,N,,,077,
AY,057,,FIN,057,27MAR11,28OCT11,1234567,EFHK,1410,ZSPD,2310,A340,N,,,058,
AY,057,,FIN,057,29OCT11,29OCT11,6,EFHK,1410,ZSPD,2310,A340,N,,,000,
AY,058,,FIN,058,27MAR11,10APR11,7,ZSPD,0120,EFHK,1135,A340,N,,,021,
AY,058,,FIN,058,28MAR11,02MAY11,1,ZSPD,0120,EFHK,1135,A340,N,,,073,
AY,058,,FIN,058,29MAR11,26APR11,2,ZSPD,0120,EFHK,1135,A340,N,,,057,
AY,058,,FIN,058,30MAR11,09APR11,346,ZSPD,0120,EFHK,1135,A340,N,,,089,
AY,058,,FIN,058,01APR11,01APR11,5,ZSPD,0120,EFHK,1135,A340,N,,,073,
AY,058,,FIN,058,08APR11,29APR11,5,ZSPD,0120,EFHK,1135,A340,N,,,077,
AY,058,,FIN,058,13APR11,30APR11,36,ZSPD,0120,EFHK,1135,A340,N,,,089,
AY,058,,FIN,058,14APR11,28APR11,47,ZSPD,0120,EFHK,1135,A340,N,,,021,
AY,058,,FIN,058,01MAY11,01MAY11,7,ZSPD,0120,EFHK,1135,A340,N,,,051,
AY,058,,FIN,058,03MAY11,11MAY11,12367,ZSPD,0120,EFHK,1135,A340,N,,,057,
AY,058,,FIN,058,05MAY11,05MAY11,4,ZSPD,0120,EFHK,1135,A340,N,,,057,
AY,058,,FIN,058,06MAY11,06MAY11,5,ZSPD,0120,EFHK,1135,A340,N,,,069,
AY,058,,FIN,058,12MAY11,12MAY11,4,ZSPD,0120,EFHK,1135,A340,N,,,073,
AY,058,,FIN,058,13MAY11,15MAY11,567,ZSPD,0120,EFHK,1135,A340,N,,,057,
AY,058,,FIN,058,16MAY11,31MAY11,12457,ZSPD,0120,EFHK,1135,A340,N,,,057,
AY,058,,FIN,058,18MAY11,18MAY11,3,ZSPD,0120,EFHK,1135,A340,N,,,051,
AY,058,,FIN,058,21MAY11,28MAY11,6,ZSPD,0120,EFHK,1135,A340,N,,,095,
AY,058,,FIN,058,25MAY11,25MAY11,3,ZSPD,0120,EFHK,1135,A340,N,,,073,
AY,058,,FIN,058,01JUN11,05OCT11,136,ZSPD,0120,EFHK,1135,A340,N,,,073,
AY,058,,FIN,058,02JUN11,02OCT11,47,ZSPD,0120,EFHK,1135,A340,N,,,061,
AY,058,,FIN,058,03JUN11,30SEP11,5,ZSPD,0120,EFHK,1135,A340,N,,,095,
AY,058,,FIN,058,07JUN11,04OCT11,2,ZSPD,0120,EFHK,1135,A340,N,,,057,
AY,058,,FIN,058,06OCT11,06OCT11,4,ZSPD,0120,EFHK,1135,A340,N,,,069,
AY,058,,FIN,058,07OCT11,29OCT11,123567,ZSPD,0120,EFHK,1135,A340,N,,,057,
AY,058,,FIN,058,13OCT11,20OCT11,4,ZSPD,0120,EFHK,1135,A340,N,,,095,
AY,058,,FIN,058,27OCT11,27OCT11,4,ZSPD,0120,EFHK,1135,A340,N,,,069,
AY,061,,FIN,061,30MAY11,03OCT11,156,EFHK,1340,VHHH,2325,A333,N,,,062,
AY,061,,FIN,061,02JUN11,02OCT11,47,EFHK,1340,VHHH,2325,A340,N,,,062,
AY,061,,FIN,061,06OCT11,08OCT11,456,EFHK,1340,VHHH,2325,A333,N,,,062,
AY,062,,FIN,062,31MAY11,04OCT11,2,VHHH,0120,EFHK,1200,A333,N,,,041,
AY,062,,FIN,062,03JUN11,03OCT11,15,VHHH,0120,EFHK,1200,A340,N,,,057,
AY,062,,FIN,062,04JUN11,08OCT11,6,VHHH,0120,EFHK,1200,A333,N,,,079,
AY,062,,FIN,062,05JUN11,02OCT11,7,VHHH,0120,EFHK,1200,A333,N,,,077,
AY,062,,FIN,062,07OCT11,09OCT11,57,VHHH,0120,EFHK,1200,A333,N,,,077,
AY,069,,FIN,069,27MAR11,08APR11,1234567,EFHK,2040,VHHH,0625,A340,N,,,070,
AY,069,,FIN,069,09APR11,09APR11,6,EFHK,2040,VHHH,0625,A340,N,,,8941,
AY,069,,FIN,069,10APR11,18APR11,1234567,EFHK,2040,VHHH,0625,A340,N,,,070,
AY,069,,FIN,069,19APR11,19APR11,2,EFHK,2040,VHHH,0625,A330,N,,,070,
AY,069,,FIN,069,20APR11,28OCT11,1234567,EFHK,2040,VHHH,0625,A340,N,,,070,
AY,069,,FIN,069,29OCT11,29OCT11,6,EFHK,2040,VHHH,0625,A340,N,,,000,
AY,070,,FIN,070,27MAR11,09APR11,23467,VHHH,1625,EFHK,0305,A340,N,,,069,
AY,070,,FIN,070,28MAR11,25APR11,1,VHHH,1625,EFHK,0305,A340,N,,,077,
AY,070,,FIN,070,01APR11,01APR11,5,VHHH,1625,EFHK,0305,A340,N,,,1511,
AY,070,,FIN,070,08APR11,08APR11,5,VHHH,1625,EFHK,0305,A340,N,,,073,
AY,070,,FIN,070,12APR11,26APR11,2,VHHH,1625,EFHK,0305,A340,N,,,021,
AY,070,,FIN,070,13APR11,14APR11,34,VHHH,1625,EFHK,0305,A340,N,,,073,
AY,070,,FIN,070,15APR11,15APR11,5,VHHH,1625,EFHK,0305,A340,N,,,1511,
AY,070,,FIN,070,16APR11,24APR11,67,VHHH,1625,EFHK,0305,A340,N,,,069,
AY,070,,FIN,070,20APR11,20APR11,3,VHHH,1625,EFHK,0305,A330,N,,,1519,
AY,070,,FIN,070,21APR11,21APR11,4,VHHH,1625,EFHK,0305,A340,N,,,073,
AY,070,,FIN,070,22APR11,22APR11,5,VHHH,1625,EFHK,0305,A340,N,,,021,
AY,070,,FIN,070,27APR11,27APR11,3,VHHH,1625,EFHK,0305,A340,N,,,071,
AY,070,,FIN,070,28APR11,03MAY11,2467,VHHH,1625,EFHK,0305,A340,N,,,069,
AY,070,,FIN,070,29APR11,29APR11,5,VHHH,1625,EFHK,0305,A340,N,,,021,
AY,070,,FIN,070,02MAY11,11MAY11,13,VHHH,1625,EFHK,0305,A340,N,,,095,
AY,070,,FIN,070,05MAY11,05MAY11,4,VHHH,1625,EFHK,0305,A340,N,,,071,
AY,070,,FIN,070,06MAY11,14MAY11,456,VHHH,1625,EFHK,0305,A340,N,,,069,
AY,070,,FIN,070,08MAY11,15MAY11,7,VHHH,1625,EFHK,0305,A340,N,,,073,
AY,070,,FIN,070,10MAY11,10MAY11,2,VHHH,1625,EFHK,0305,A340,N,,,021,
AY,070,,FIN,070,16MAY11,16MAY11,1,VHHH,1625,EFHK,0305,A340,N,,,051,
AY,070,,FIN,070,17MAY11,21MAY11,246,VHHH,1625,EFHK,0305,A340,N,,,069,
AY,070,,FIN,070,18MAY11,18MAY11,3,VHHH,1625,EFHK,0305,A340,N,,,069,
AY,070,,FIN,070,20MAY11,27MAY11,57,VHHH,1625,EFHK,0305,A340,N,,,073,
AY,070,,FIN,070,23MAY11,23MAY11,1,VHHH,1625,EFHK,0305,A340,N,,,057,
AY,070,,FIN,070,24MAY11,29MAY11,23467,VHHH,1625,EFHK,0305,A340,N,,,069,
AY,070,,FIN,070,30MAY11,30MAY11,1,VHHH,1625,EFHK,0305,A340,N,,,095,
AY,070,,FIN,070,31MAY11,04JUN11,246,VHHH,1625,EFHK,0305,A340,N,,,069,
AY,070,,FIN,070,01JUN11,08JUN11,35,VHHH,1625,EFHK,0305,A340,N,,,057,
AY,070,,FIN,070,05JUN11,03OCT11,17,VHHH,1625,EFHK,0305,A340,N,,,081,
AY,070,,FIN,070,07JUN11,06OCT11,2456,VHHH,1625,EFHK,0305,A340,N,,,069,
AY,070,,FIN,070,15JUN11,26OCT11,3,VHHH,1625,EFHK,0305,A340,N,,,057,
AY,070,,FIN,070,07OCT11,07OCT11,5,VHHH,1625,EFHK,0305,A340,N,,,073,
AY,070,,FIN,070,08OCT11,08OCT11,6,VHHH,1625,EFHK,0305,A340,N,,,081,
AY,070,,FIN,070,09OCT11,16OCT11,17,VHHH,1625,EFHK,0305,A340,N,,,095,
